state,jurisdiction_name,geography_type,population,official_domain,planning_pages_found,directory_pages_found,staff_links_found,profile_links_followed,mailto_links_found,emails_found,candidate_titles_found,pages_fetched,search_queries_run,found_contact,final_rejection_reason,elapsed_seconds,cache_hits,cache_misses,profile_pages_followed,early_stop,max_page_limit_hit,timeout_count,fetch_error_count,resolver_method,search_results_seen,search_results_rejected,planning_fallback_used,planning_fallback_url,planning_fallback_attempted,planning_fallback_success,fetch_failures_by_url,orphan_emails_found,orphan_emails_promoted,candidate_pairing_failures
WA,Federal Way,city,99232,www.federalwaywa.gov,1,2,4,0,17,18,0,7,0,yes,,15.37,8,15,0,yes,no,0,12,guess,0,0,no,,no,no,https://www.cityoffederalway.org/|status=0|err=connection_error|reason=ConnectError; https://cityoffederalway.org/|status=0|err=connection_error|reason=ConnectError; https://www.cityoffederalway.gov/|status=0|err=connection_error|reason=ConnectError; https://cityoffederalway.gov/|status=0|err=connection_error|reason=ConnectError; https://www.federalwaycity.org/|status=0|err=connection_error|reason=ConnectError; https://federalwaycity.org/|status=0|err=connection_error|reason=ConnectError; https://www.federalwaywa.gov/planning-and-zoning|status=404|err=http_error|reason=http_404; https://www.federalwaywa.gov/planning|status=404|err=http_error|reason=http_404; ...+7 more,0,0,0
WI,Kenosha,city,99147,www.kenoshacountywi.gov,0,0,0,0,0,0,0,0,4,no,no_planning_contact_found,30.75,0,9,0,no,no,0,18,planning_search_fallback,20,10,yes,https://www.kenoshacountywi.gov/656/Planning-Development,yes,no,https://www.cityofkenosha.org/|status=0|err=connection_error|reason=ConnectError; https://cityofkenosha.org/|status=0|err=robots_denied|reason=robots_txt_disallow; https://www.cityofkenosha.gov/|status=0|err=connection_error|reason=ConnectError; https://cityofkenosha.gov/|status=0|err=connection_error|reason=ConnectError; https://www.kenoshacity.org/|status=0|err=connection_error|reason=ConnectError; https://kenoshacity.org/|status=0|err=connection_error|reason=ConnectError; https://www.kenoshawi.gov/|status=0|err=connection_error|reason=ConnectError; https://kenoshawi.gov/|status=0|err=connection_error|reason=ConnectError; ...+33 more,0,0,0
FL,Boca Raton,city,98833,fl-bocaraton.civicplus.com,0,0,0,0,0,0,0,0,5,no,no_planning_contact_found,22.36,2,8,0,no,no,0,16,planning_search_fallback,25,23,yes,https://fl-bocaraton.civicplus.com/FormCenter/Development-Services-Forms-4/Contact-Planning-Zoning-48,yes,no,https://www.cityofbocaraton.org/|status=0|err=connection_error|reason=ConnectError; https://cityofbocaraton.org/|status=0|err=connection_error|reason=ConnectError; https://www.cityofbocaraton.gov/|status=0|err=connection_error|reason=ConnectError; https://cityofbocaraton.gov/|status=0|err=connection_error|reason=ConnectError; https://www.bocaratoncity.org/|status=0|err=connection_error|reason=ConnectError; https://bocaratoncity.org/|status=0|err=connection_error|reason=ConnectError; https://www.bocaratonfl.gov/|status=0|err=connection_error|reason=ConnectError; https://bocaratonfl.gov/|status=0|err=connection_error|reason=ConnectError; ...+15 more,0,0,0
VA,Roanoke,city,98677,www.cityofroanoke.org,0,0,2,0,0,0,0,1,0,no,no_planning_contact_found,7.05,2,14,0,no,no,0,0,guess,0,0,no,,no,no,https://www.cityofroanoke.org/planning-and-zoning|status=404|err=http_error|reason=http_404; https://www.cityofroanoke.org/planning|status=404|err=http_error|reason=http_404; https://www.cityofroanoke.org/departments/planning|status=404|err=http_error|reason=http_404; https://www.cityofroanoke.org/community-development|status=404|err=http_error|reason=http_404; https://www.cityofroanoke.org/development-services|status=404|err=http_error|reason=http_404; https://www.cityofroanoke.org/staff|status=404|err=http_error|reason=http_404; https://www.cityofroanoke.org/directory|status=404|err=http_error|reason=http_404; https://www.cityofroanoke.org/Directory.aspx|status=404|err=http_error|reason=http_404; ...+6 more,0,0,0
OR,Beaverton,city,97502,www.citydirectory.us,0,5,41,0,0,0,0,5,2,no,no_planning_contact_found,27.94,1,27,0,no,no,0,20,search_official,10,9,no,,no,no,https://www.cityofbeaverton.org/|status=0|err=connection_error|reason=ConnectError; https://cityofbeaverton.org/|status=0|err=connection_error|reason=ConnectError; https://www.cityofbeaverton.gov/|status=0|err=connection_error|reason=ConnectError; https://cityofbeaverton.gov/|status=0|err=connection_error|reason=ConnectError; https://www.beavertoncity.org/|status=0|err=connection_error|reason=ConnectError; https://beavertoncity.org/|status=0|err=connection_error|reason=ConnectError; https://www.beavertonor.gov/|status=0|err=connection_error|reason=ConnectError; https://beavertonor.gov/|status=0|err=connection_error|reason=ConnectError; ...+14 more,0,0,0
VA,Portsmouth,city,97299,archive.org,1,0,0,0,1,0,0,2,3,no,no_planning_contact_found,43.06,2,20,0,no,no,1,13,planning_search_fallback,15,10,yes,https://archive.org/details/pmouva-Portsmouth_Planning_Department_s_Upcoming_Innovation_District_Public_Hearings_Portsmouth_V,yes,yes,https://www.cityofportsmouth.org/|status=0|err=connection_error|reason=ConnectError; https://cityofportsmouth.org/|status=0|err=connection_error|reason=ConnectError; https://www.cityofportsmouth.gov/|status=0|err=connection_error|reason=ConnectError; https://cityofportsmouth.gov/|status=0|err=connection_error|reason=ConnectError; https://www.portsmouthcity.org/|status=0|err=connection_error|reason=ConnectError; https://portsmouthcity.org/|status=0|err=connection_error|reason=ConnectError; https://www.portsmouthva.gov/|status=0|err=robots_denied|reason=robots_txt_disallow; https://portsmouthva.gov/|status=0|err=robots_denied|reason=robots_txt_disallow; ...+22 more,0,0,0
WA,Yakima,city,96810,www.yakimawa.gov,0,0,0,0,0,0,0,0,3,no,no_planning_contact_found,47.66,0,6,0,no,no,2,10,planning_search_fallback,15,12,yes,https://www.yakimawa.gov/services/planning/,yes,no,https://www.cityofyakima.org/|status=0|err=connection_error|reason=ConnectError; https://cityofyakima.org/|status=0|err=connection_error|reason=ConnectError; https://www.yakimacity.org/|status=0|err=connection_error|reason=ConnectError; https://yakimacity.org/|status=0|err=connection_error|reason=ConnectError; https://www.yakimawa.gov/|status=0|err=robots_denied|reason=robots_txt_disallow; https://yakimawa.gov/|status=0|err=robots_denied|reason=robots_txt_disallow; https://www.yakimawa.org/|status=0|err=connection_error|reason=ConnectError; https://yakimawa.org/|status=0|err=timeout|reason=timeout; ...+16 more,0,0,0
VA,Suffolk,city,96638,www.suffolkvatax.us,5,3,0,0,0,0,0,10,2,no,no_planning_contact_found,19.23,11,10,0,no,yes,0,20,search_official,10,2,no,,no,no,https://www.cityofsuffolk.org/|status=0|err=connection_error|reason=ConnectError; https://cityofsuffolk.org/|status=0|err=connection_error|reason=ConnectError; https://www.cityofsuffolk.gov/|status=0|err=connection_error|reason=ConnectError; https://cityofsuffolk.gov/|status=0|err=connection_error|reason=ConnectError; https://www.suffolkcity.org/|status=0|err=connection_error|reason=ConnectError; https://suffolkcity.org/|status=0|err=connection_error|reason=ConnectError; https://www.suffolkva.gov/|status=0|err=connection_error|reason=ConnectError; https://suffolkva.gov/|status=0|err=connection_error|reason=ConnectError; ...+10 more,0,0,0
FL,Deltona,city,95682,www.deltonafl.gov,2,4,50,0,1,1,1,10,0,no,no_planning_contact_found,17.25,11,14,0,no,yes,0,12,guess,0,0,no,,no,no,https://www.cityofdeltona.org/|status=0|err=connection_error|reason=ConnectError; https://cityofdeltona.org/|status=0|err=connection_error|reason=ConnectError; https://www.cityofdeltona.gov/|status=0|err=connection_error|reason=ConnectError; https://cityofdeltona.gov/|status=0|err=connection_error|reason=ConnectError; https://www.deltonacity.org/|status=0|err=connection_error|reason=ConnectError; https://deltonacity.org/|status=0|err=connection_error|reason=ConnectError; https://www.deltonafl.gov/planning-and-zoning|status=404|err=http_error|reason=http_404; https://www.deltonafl.gov/planning|status=404|err=http_error|reason=http_404; ...+6 more,0,0,0
PA,Reading,city,94836,www.readingpa.gov,5,0,59,0,1,1,2,10,0,no,only_generic_email_found,22.02,11,17,0,no,yes,0,12,guess,0,0,no,,no,no,https://www.cityofreading.org/|status=0|err=connection_error|reason=ConnectError; https://cityofreading.org/|status=0|err=connection_error|reason=ConnectError; https://www.cityofreading.gov/|status=0|err=connection_error|reason=ConnectError; https://cityofreading.gov/|status=0|err=connection_error|reason=ConnectError; https://www.readingcity.org/|status=0|err=connection_error|reason=ConnectError; https://readingcity.org/|status=0|err=connection_error|reason=ConnectError; https://www.readingpa.gov/planning-and-zoning|status=404|err=http_error|reason=http_404; https://www.readingpa.gov/planning|status=404|err=http_error|reason=http_404; ...+9 more,0,0,0
