state,jurisdiction_name,geography_type,population,county_name,fips_state,fips_county,fips_place,official_website_url
MO,Missouri,township,60306,"Boone, Missouri",29,019,,
MO,Wentzville,township,56912,"St. Charles, Missouri",29,183,,
MI,Ypsilanti charter,township,55235,"Washtenaw, Michigan",26,161,,
MO,Jefferson,township,54632,"Cole, Missouri",29,051,,
MI,Georgetown charter,township,54413,"Ottawa, Michigan",26,139,,
MI,Redford charter,township,48628,"Wayne, Michigan",26,163,,
MI,Chesterfield,township,45481,"Macomb, Michigan",26,099,,
MO,Joplin,township,45396,"Jasper, Missouri",29,097,,
MI,Bloomfield charter,township,43973,"Oakland, Michigan",26,125,,
MI,Meridian charter,township,43823,"Ingham, Michigan",26,065,,
MI,Commerce charter,township,43179,"Oakland, Michigan",26,125,,
MO,Chesterfield,township,43139,"St. Louis, Missouri",29,189,,
MO,Cape Girardeau,township,42137,"Cape Girardeau, Missouri",29,031,,
MO,Cullen,township,41525,"Pulaski, Missouri",29,169,,
MI,Saginaw charter,township,41361,"Saginaw, Michigan",26,145,,
MO,Meramec,township,41141,"St. Louis, Missouri",29,189,,
MI,Grand Blanc charter,township,39842,"Genesee, Michigan",26,049,,
MO,Queeny,township,39206,"St. Louis, Missouri",29,189,,
MI,Pittsfield charter,township,39159,"Washtenaw, Michigan",26,161,,
MI,Holland charter,township,39140,"Ottawa, Michigan",26,139,,
MO,Tesson Ferry,township,38721,"St. Louis, Missouri",29,189,,
MO,Lewis and Clark,township,38710,"St. Louis, Missouri",29,189,,
MI,Orion charter,township,38323,"Oakland, Michigan",26,125,,
MO,Clayton,township,38249,"St. Louis, Missouri",29,189,,
MO,Bonhomme,township,37855,"St. Louis, Missouri",29,189,,
MO,Creve Coeur,township,37778,"St. Louis, Missouri",29,189,,
MO,Maryland Heights,township,37704,"St. Louis, Missouri",29,189,,
MO,Concord,township,37215,"St. Louis, Missouri",29,189,,
MI,Independence charter,township,36709,"Oakland, Michigan",26,125,,
MO,Oakville,township,36312,"St. Louis, Missouri",29,189,,
MO,Missouri River,township,35966,"St. Louis, Missouri",29,189,,
MO,Lemay,township,35370,"St. Louis, Missouri",29,189,,
MO,Spanish Lake,township,35273,"St. Louis, Missouri",29,189,,
MO,Wildhorse,township,35013,"St. Louis, Missouri",29,189,,
MO,Hadley,township,34908,"St. Louis, Missouri",29,189,,
MO,Airport,township,34862,"St. Louis, Missouri",29,189,,
MO,Gravois,township,34852,"St. Louis, Missouri",29,189,,
MO,Florissant,township,34742,"St. Louis, Missouri",29,189,,
MO,Rock,township,34479,"Jefferson, Missouri",29,099,,
MO,Midland,township,34341,"St. Louis, Missouri",29,189,,
MI,Plainfield charter,township,33755,"Kent, Michigan",26,081,,
MO,Lafayette,township,33577,"St. Louis, Missouri",29,189,,
MI,Delta charter,township,33067,"Eaton, Michigan",26,045,,
MI,Brownstown charter,township,32922,"Wayne, Michigan",26,163,,
MO,Raymore,township,32789,"Cass, Missouri",29,037,,
MO,Ferguson,township,32680,"St. Louis, Missouri",29,189,,
MO,Northwest,township,32379,"St. Louis, Missouri",29,189,,
MO,St. Francois,township,31933,"St. Francois, Missouri",29,187,,
MI,Bedford,township,31851,"Monroe, Michigan",26,115,,
MI,Northville,township,31393,"Wayne, Michigan",26,163,,
MI,Flint charter,township,31172,"Genesee, Michigan",26,049,,
MI,White Lake charter,township,31066,"Oakland, Michigan",26,125,,
MO,O'Fallon,township,30679,"St. Charles, Missouri",29,183,,
MO,St. Ferdinand,township,30481,"St. Louis, Missouri",29,189,,
MO,Normandy,township,30287,"St. Louis, Missouri",29,189,,
MO,University,township,30209,"St. Louis, Missouri",29,189,,
MI,Van Buren charter,township,30083,"Wayne, Michigan",26,163,,
MO,Lake St. Louis,township,30038,"St. Charles, Missouri",29,183,,
MO,May,township,29551,"Platte, Missouri",29,165,,
MI,Gaines charter,township,29100,"Kent, Michigan",26,081,,
MI,Washington charter,township,28371,"Macomb, Michigan",26,099,,
MO,Galena,township,28368,"Jasper, Missouri",29,097,,
MO,Norwood,township,28231,"St. Louis, Missouri",29,189,,
MI,Delhi charter,township,27776,"Ingham, Michigan",26,065,,
MI,Plymouth charter,township,27549,"Wayne, Michigan",26,163,,
MI,Byron,township,27274,"Kent, Michigan",26,081,,
MI,Allendale charter,township,26370,"Ottawa, Michigan",26,139,,
MO,Dardenne,township,26197,"St. Charles, Missouri",29,183,,
MO,Imperial,township,25898,"Jefferson, Missouri",29,099,,
MO,Sedalia,township,25689,"Pettis, Missouri",29,159,,
MI,Blackman charter,township,25631,"Jackson, Michigan",26,075,,
MO,Cottleville,township,25619,"St. Charles, Missouri",29,183,,
MO,Poplar Bluff,township,25586,"Butler, Missouri",29,023,,
MO,Frontier,township,25575,"St. Charles, Missouri",29,183,,
MO,Rivers,township,25005,"St. Charles, Missouri",29,183,,
MO,Weldon Spring,township,24577,"St. Charles, Missouri",29,183,,
MI,Harrison charter,township,24109,"Macomb, Michigan",26,099,,
MI,Lyon charter,township,23953,"Oakland, Michigan",26,125,,
MI,Oshtemo charter,township,23743,"Kalamazoo, Michigan",26,077,,
MO,Warrensburg,township,22892,"Johnson, Missouri",29,101,,
MI,Summit,township,22825,"Jackson, Michigan",26,075,,
MI,Kalamazoo charter,township,22619,"Kalamazoo, Michigan",26,077,,
MO,Lindenwood,township,22442,"St. Charles, Missouri",29,183,,
MI,Oxford charter,township,22439,"Oakland, Michigan",26,125,,
MO,Windsor,township,22273,"Jefferson, Missouri",29,099,,
MO,Branson,township,22169,"Taney, Missouri",29,213,,
MI,Frenchtown,township,21626,"Monroe, Michigan",26,115,,
MI,Hamburg,township,21301,"Livingston, Michigan",26,093,,
MO,Mount Pleasant,township,21234,"Cass, Missouri",29,037,,
MO,Harvester,township,21087,"St. Charles, Missouri",29,183,,
MO,Joachim,township,20925,"Jefferson, Missouri",29,099,,
MO,Arnold,township,20884,"Jefferson, Missouri",29,099,,
MO,Spencer Creek,township,20882,"St. Charles, Missouri",29,183,,
MI,Genoa,township,20679,"Livingston, Michigan",26,093,,
MI,Genesee charter,township,20434,"Genesee, Michigan",26,049,,
MI,Davison,township,20407,"Genesee, Michigan",26,049,,
MO,Union,township,20331,"Franklin, Missouri",29,071,,
MO,Zumbehl,township,20329,"St. Charles, Missouri",29,183,,
MO,Byrd,township,20170,"Cape Girardeau, Missouri",29,031,,
MI,Oakland charter,township,20099,"Oakland, Michigan",26,125,,
MI,Lapeer County,county,88703,Lapeer,26,087,,
OR,Polk County,county,88553,Polk,41,053,,
OR,Josephine County,county,88069,Josephine,41,033,,
GA,Barrow County,county,86982,Barrow,13,013,,
TX,Angelina County,county,86791,Angelina,48,005,,
RI,Newport County,county,85095,Newport,44,005,,
TX,Orange County,county,84993,Orange,48,361,,
GA,Glynn County,county,84987,Glynn,13,127,,
GA,Dougherty County,county,83915,Dougherty,13,095,,
MO,Buchanan County,county,83855,Buchanan,29,021,,
TX,Coryell County,county,83772,Coryell,48,099,,
TX,Henderson County,county,83658,Henderson,48,213,,
MI,Midland County,county,83641,Midland,26,111,,
CA,Yuba County,county,83079,Yuba,06,115,,
MO,Cape Girardeau County,county,82180,Cape Girardeau,29,031,,
FL,Monroe County,county,81840,Monroe,12,087,,
GA,Bulloch County,county,81372,Bulloch,13,031,,
GA,Jackson County,county,80640,Jackson,13,157,,
OR,Umatilla County,county,80087,Umatilla,41,059,,
FL,Walton County,county,79846,Walton,12,131,,
MI,Clinton County,county,79419,Clinton,26,037,,
TX,Walker County,county,78292,Walker,48,471,,
NM,Valencia County,county,77382,Valencia,35,061,,
MO,Cole County,county,76924,Cole,29,051,,
MI,Van Buren County,county,75681,Van Buren,26,159,,
FL,Putnam County,county,74235,Putnam,12,107,,
NM,Lea County,county,73154,Lea,35,025,,
TX,Wise County,county,72359,Wise,48,497,,
NM,McKinley County,county,71172,McKinley,35,031,,
FL,Columbia County,county,70755,Columbia,12,023,,
GA,Troup County,county,69821,Troup,13,285,,
OR,Klamath County,county,69812,Klamath,41,035,,
TX,Harrison County,county,69584,Harrison,48,203,,
TX,San Patricio County,county,69519,San Patricio,48,409,,
MN,Blue Earth County,county,69386,Blue Earth,27,013,,
GA,Walker County,county,68449,Walker,13,295,,
GA,Catoosa County,county,68356,Catoosa,13,047,,
NM,Otero County,county,68235,Otero,35,035,,
GA,Spalding County,county,68215,Spalding,13,255,,
CA,Lake County,county,68139,Lake,06,033,,
MI,Shiawassee County,county,68061,Shiawassee,26,155,,
MN,Rice County,county,67389,Rice,27,131,,
GA,Effingham County,county,67265,Effingham,13,103,,
MI,Montcalm County,county,67174,Montcalm,26,117,,
MN,Crow Wing County,county,67113,Crow Wing,27,035,,
MO,St. Francois County,county,66864,St. Francois,29,187,,
GA,Liberty County,county,66826,Liberty,13,179,,
MI,Ionia County,county,66706,Ionia,26,067,,
MI,Marquette County,county,66430,Marquette,26,103,,
CA,San Benito County,county,66056,San Benito,06,069,,
TX,Starr County,county,65809,Starr,48,427,,
MN,Clay County,county,65628,Clay,27,027,,
CA,Tehama County,county,65520,Tehama,06,103,,
TX,Nacogdoches County,county,64897,Nacogdoches,48,347,,
OR,Coos County,county,64832,Coos,41,011,,
MI,Isabella County,county,64475,Isabella,26,073,,
NM,Chaves County,county,64446,Chaves,35,005,,
TX,Hood County,county,64198,Hood,48,221,,
MI,Barry County,county,62982,Barry,26,015,,
MO,Lincoln County,county,61636,Lincoln,29,113,,
TX,Van Zandt County,county,61323,Van Zandt,48,467,,
NM,Eddy County,county,61114,Eddy,35,015,,
MI,St. Joseph County,county,60870,St. Joseph,26,149,,
NV,Lyon County,county,60630,Lyon,32,019,,
VT,Rutland County,county,60484,Rutland,50,021,,
MN,Otter Tail County,county,60281,Otter Tail,27,111,,
VT,Washington County,county,59958,Washington,50,023,,
MO,Newton County,county,59490,Newton,29,145,,
TX,Waller County,county,59455,Waller,48,473,,
NV,Carson,county,58364,Carson,32,510,,
GA,Gordon County,county,58336,Gordon,13,129,,
VT,Windsor County,county,57968,Windsor,50,027,,
TX,Anderson County,county,57825,Anderson,48,001,,
TX,Maverick County,county,57770,Maverick,48,323,,
MN,Chisago County,county,57434,Chisago,27,025,,
TX,Hardin County,county,57126,Hardin,48,199,,
MO,Taney County,county,56382,Taney,29,213,,
GA,Camden County,county,56036,Camden,13,039,,
CA,Tuolumne County,county,54873,Tuolumne,06,109,,
MO,Johnson County,county,54331,Johnson,29,101,,
NV,Elko County,county,53852,Elko,32,007,,
MO,Pulaski County,county,53850,Pulaski,29,169,,
TX,Navarro County,county,53735,Navarro,48,349,,
NV,Nye County,county,53207,Nye,32,023,,
OR,Columbia County,county,53178,Columbia,41,009,,
TX,Kerr County,county,53166,Kerr,48,265,,
MI,Tuscola County,county,53071,Tuscola,26,157,,
TX,Rusk County,county,52613,Rusk,48,401,,
TX,Medina County,county,52419,Medina,48,325,,
TX,Polk County,county,51780,Polk,48,373,,
MI,Cass County,county,51606,Cass,26,027,,
TX,Wilson County,county,51501,Wilson,48,493,,
TX,Cherokee County,county,51143,Cherokee,48,073,,
TX,Burnet County,county,51064,Burnet,48,053,,
OR,Lincoln County,county,50632,Lincoln,41,041,,
RI,Bristol County,county,50568,Bristol,44,001,,
TX,Lamar County,county,50421,Lamar,48,277,,
MI,Newaygo County,county,50414,Newaygo,26,123,,
VT,Franklin County,county,50379,Franklin,50,011,,
TX,Atascosa County,county,50058,Atascosa,48,013,,
MN,Winona County,county,49705,Winona,27,169,,
NV,Douglas County,county,49624,Douglas,32,005,,
GA,Laurens County,county,49619,Laurens,13,175,,
TX,Chambers County,county,49178,Chambers,48,071,,
NM,Curry County,county,47932,Curry,35,009,,
MN,Goodhue County,county,47844,Goodhue,27,049,,
FL,Jackson County,county,47652,Jackson,12,063,,
TX,Val Verde County,county,47647,Val Verde,48,465,,
TX,Caldwell County,county,47184,Caldwell,48,055,,
TX,Kendall County,county,46971,Kendall,48,259,,
GA,Habersham County,county,46948,Habersham,13,137,,
GA,Bryan County,county,46681,Bryan,13,029,,
MN,Beltrami County,county,46421,Beltrami,27,007,,
TX,Wood County,county,46094,Wood,48,499,,
CA,Calaveras County,county,45995,Calaveras,06,009,,
VT,Windham County,county,45913,Windham,50,025,,
GA,Colquitt County,county,45907,Colquitt,13,071,,
GA,Thomas County,county,45696,Thomas,13,275,,
MI,Hillsdale County,county,45658,Hillsdale,26,059,,
MN,Itasca County,county,45141,Itasca,27,061,,
MO,Phelps County,county,44948,Phelps,29,161,,
MI,Branch County,county,44914,Branch,26,023,,
MO,Callaway County,county,44541,Callaway,29,027,,
FL,Suwannee County,county,44484,Suwannee,12,121,,
FL,Levy County,county,44276,Levy,12,075,,
CA,Siskiyou County,county,43834,Siskiyou,06,093,,
MN,Kandiyohi County,county,43757,Kandiyohi,27,067,,
GA,Baldwin County,county,43669,Baldwin,13,009,,
FL,Gadsden County,county,43642,Gadsden,12,039,,
MO,Camden County,county,43416,Camden,29,029,,
GA,Polk County,county,43365,Polk,13,233,,
TX,Erath County,county,43244,Erath,48,143,,
MO,Pettis County,county,43205,Pettis,29,159,,
GA,Coffee County,county,43161,Coffee,13,069,,
GA,Oconee County,county,42788,Oconee,13,219,,
TX,Cooke County,county,42473,Cooke,48,097,,
MO,Butler County,county,42166,Butler,29,023,,
MN,Isanti County,county,41934,Isanti,27,059,,
TX,Upshur County,county,41864,Upshur,48,459,,
TX,Wharton County,county,41651,Wharton,48,481,,
MI,Gratiot County,county,41478,Gratiot,26,057,,
MN,Benton County,county,41458,Benton,27,009,,
OR,Clatsop County,county,41343,Clatsop,41,007,,
GA,Tift County,county,41322,Tift,13,277,,
CA,Amador County,county,41029,Amador,06,005,,
FL,Hendry County,county,40798,Hendry,12,051,,
MI,Sanilac County,county,40574,Sanilac,26,151,,
MI,Mecosta County,county,40321,Mecosta,26,107,,
GA,Murray County,county,40282,Murray,13,213,,
FL,Okeechobee County,county,40249,Okeechobee,12,093,,
MO,Howell County,county,40168,Howell,29,091,,
NM,Rio Arriba County,county,40165,Rio Arriba,35,039,,
MN,Mower County,county,40069,Mower,27,099,,
MO,Webster County,county,39868,Webster,29,225,,
MN,Douglas County,county,39354,Douglas,27,041,,
TX,Jim Wells County,county,38863,Jim Wells,48,249,,
MO,Lawrence County,county,38392,Lawrence,29,109,,
TX,Brown County,county,38294,Brown,48,049,,
MO,Scott County,county,37967,Scott,29,201,,
VT,Addison County,county,37497,Addison,50,001,,
MI,Houghton County,county,37428,Houghton,26,061,,
MN,Steele County,county,37413,Steele,27,147,,
TX,Hopkins County,county,37351,Hopkins,48,223,,
VT,Bennington County,county,37312,Bennington,50,003,,
MI,Delta County,county,36829,Delta,26,041,,
MN,McLeod County,county,36771,McLeod,27,085,,
TX,Hill County,county,36664,Hill,48,217,,
TX,Fannin County,county,36525,Fannin,48,147,,
MO,Warren County,county,36467,Warren,29,219,,
MN,Carlton County,county,36457,Carlton,27,017,,
MI,Chippewa County,county,36448,Chippewa,26,033,,
TX,Matagorda County,county,36274,Matagorda,48,321,,
MO,Laclede County,county,36245,Laclede,29,105,,
TX,Washington County,county,36156,Washington,48,477,,
GA,Ware County,county,35958,Ware,13,299,,
GA,Harris County,county,35509,Harris,13,145,,
MN,Becker County,county,35260,Becker,27,005,,
MO,Barry County,county,34831,Barry,29,009,,
FL,DeSoto County,county,34719,DeSoto,12,027,,
FL,Wakulla County,county,34608,Wakulla,12,129,,
NM,Taos County,county,34516,Taos,35,055,,
MN,Nicollet County,county,34350,Nicollet,27,103,,
GA,Pickens County,county,34197,Pickens,13,227,,
MI,Emmet County,county,34159,Emmet,26,047,,
MN,Morrison County,county,34131,Morrison,27,097,,
GA,Lumpkin County,county,33931,Lumpkin,13,187,,
MI,Wexford County,county,33868,Wexford,26,165,,
GA,Lee County,county,33337,Lee,13,177,,
TX,Howard County,county,33127,Howard,48,227,,
MO,Lafayette County,county,32974,Lafayette,29,107,,
TX,Jasper County,county,32807,Jasper,48,241,,
TX,Hale County,county,32247,Hale,48,189,,
MO,Polk County,county,32109,Polk,29,167,,
GA,Gilmer County,county,31976,Gilmer,13,123,,
OR,Malheur County,county,31701,Malheur,41,045,,
MO,Stone County,county,31697,Stone,29,209,,
TX,Titus County,county,31284,Titus,48,449,,
MI,Huron County,county,31258,Huron,26,063,,
CA,Lassen County,county,31177,Lassen,06,035,,
MI,Clare County,county,31109,Clare,26,035,,
TX,Bee County,county,31000,Bee,48,025,,
GA,Madison County,county,30914,Madison,13,195,,
MN,Polk County,county,30905,Polk,27,119,,
MN,Freeborn County,county,30752,Freeborn,27,047,,
GA,Haralson County,county,30720,Haralson,13,143,,
TX,Austin County,county,30712,Austin,48,015,,
MN,Cass County,county,30688,Cass,27,021,,
TX,Kleberg County,county,30629,Kleberg,48,273,,
GA,Wayne County,county,30519,Wayne,13,305,,
VT,Caledonia County,county,30425,Caledonia,50,005,,
TX,Grimes County,county,30385,Grimes,48,185,,
VT,Orange County,county,29594,Orange,50,017,,
MN,Pine County,county,29411,Pine,27,115,,
MI,Mason County,county,29177,Mason,26,105,,
GA,Sumter County,county,29174,Sumter,13,261,,
GA,Decatur County,county,29118,Decatur,13,087,,
MN,Le Sueur County,county,28936,Le Sueur,27,079,,
TX,Palo Pinto County,county,28920,Palo Pinto,48,363,,
GA,Monroe County,county,28919,Monroe,13,207,,
MI,Alpena County,county,28908,Alpena,26,007,,
GA,Dawson County,county,28704,Dawson,13,085,,
CA,Glenn County,county,28623,Glenn,06,021,,
TX,Cass County,county,28582,Cass,48,067,,
MO,Stoddard County,county,28547,Stoddard,29,207,,
GA,Jones County,county,28526,Jones,13,169,,
MO,Marion County,county,28493,Marion,29,127,,
GA,White County,county,28454,White,13,311,,
GA,Peach County,county,28269,Peach,13,225,,
FL,Baker County,county,28186,Baker,12,003,,
TX,San Jacinto County,county,27983,San Jacinto,48,407,,
FL,Bradford County,county,27888,Bradford,12,007,,
GA,Upson County,county,27856,Upson,13,293,,
NM,Grant County,county,27856,Grant,35,017,,
MO,Dunklin County,county,27795,Dunklin,29,069,,
VT,Orleans County,county,27492,Orleans,50,019,,
OR,Tillamook County,county,27471,Tillamook,41,057,,
CA,Del Norte County,county,27293,Del Norte,06,015,,
TX,Gillespie County,county,27202,Gillespie,48,171,,
NM,Cibola County,county,27059,Cibola,35,006,,
NM,San Miguel County,county,27036,San Miguel,35,047,,
GA,Toombs County,county,26943,Toombs,13,279,,
MN,Mille Lacs County,county,26912,Mille Lacs,27,095,,
GA,Stephens County,county,26842,Stephens,13,257,,
MI,Oceana County,county,26788,Oceana,26,127,,
OR,Wasco County,county,26603,Wasco,41,065,,
GA,Hart County,county,26484,Hart,13,147,,
OR,Union County,county,26192,Union,41,061,,
MI,Charlevoix County,county,26143,Charlevoix,26,029,,
GA,Butts County,county,26074,Butts,13,035,,
GA,Grady County,county,26056,Grady,13,131,,
VT,Lamoille County,county,26036,Lamoille,50,015,,
MI,Dickinson County,county,25940,Dickinson,26,043,,
MN,Brown County,county,25826,Brown,27,015,,
MI,Cheboygan County,county,25778,Cheboygan,26,031,,
OR,Crook County,county,25651,Crook,41,013,,
NV,Churchill County,county,25614,Churchill,32,001,,
GA,Fannin County,county,25605,Fannin,13,111,,
GA,Union County,county,25598,Union,13,291,,
MI,Gladwin County,county,25543,Gladwin,26,051,,
FL,Hardee County,county,25508,Hardee,12,049,,
MN,Lyon County,county,25498,Lyon,27,083,,
NM,Luna County,county,25420,Luna,35,029,,
MN,Todd County,county,25402,Todd,27,153,,
MI,Otsego County,county,25352,Otsego,26,137,,
MI,Iosco County,county,25333,Iosco,26,069,,
TX,Milam County,county,25268,Milam,48,331,,
FL,Washington County,county,25259,Washington,12,133,,
MI,Manistee County,county,25247,Manistee,26,101,,
MO,Adair County,county,25224,Adair,29,001,,
MO,Miller County,county,25081,Miller,29,131,,
GA,Chattooga County,county,24975,Chattooga,13,055,,
OR,Jefferson County,county,24973,Jefferson,41,031,,
MO,Texas County,county,24956,Texas,29,215,,
TX,Uvalde County,county,24810,Uvalde,48,463,,
TX,Fayette County,county,24783,Fayette,48,149,,
MO,Audrain County,county,24688,Audrain,29,007,,
MO,Randolph County,county,24524,Randolph,29,175,,
TX,Aransas County,county,24449,Aransas,48,007,,
GA,Burke County,county,24427,Burke,13,033,,
GA,Tattnall County,county,24215,Tattnall,13,267,,
TX,Shelby County,county,24108,Shelby,48,419,,
OR,Hood River County,county,23958,Hood River,41,027,,
MI,Antrim County,county,23876,Antrim,26,009,,
GA,Franklin County,county,23840,Franklin,13,119,,
MI,Roscommon County,county,23639,Roscommon,26,143,,
MO,McDonald County,county,23492,McDonald,29,119,,
MO,Washington County,county,23483,Washington,29,221,,
OR,Curry County,county,23463,Curry,41,015,,
MN,Meeker County,county,23422,Meeker,27,093,,
MI,Menominee County,county,23295,Menominee,26,109,,
MO,Saline County,county,23177,Saline,29,195,,
MO,Ray County,county,23149,Ray,29,177,,
MI,Osceola County,county,23122,Osceola,26,133,,
GA,Emanuel County,county,22961,Emanuel,13,107,,
MO,Crawford County,county,22890,Crawford,29,055,,
TX,Panola County,county,22624,Panola,48,365,,
MI,Leelanau County,county,22607,Leelanau,26,089,,
GA,Putnam County,county,22524,Putnam,13,237,,
TX,Lampasas County,county,22267,Lampasas,48,281,,
MO,Henry County,county,22194,Henry,29,083,,
TX,Limestone County,county,22185,Limestone,48,293,,
MN,Nobles County,county,22067,Nobles,27,105,,
TX,Houston County,county,22042,Houston,48,225,,
TX,Llano County,county,22011,Llano,48,299,,
TX,Gaines County,county,21904,Gaines,48,165,,
CA,Colusa County,county,21895,Colusa,06,011,,
MN,Hubbard County,county,21700,Hubbard,27,057,,
GA,McDuffie County,county,21687,McDuffie,13,189,,
TX,Bandera County,county,21589,Bandera,48,019,,
MN,Wabasha County,county,21519,Wabasha,27,157,,
TX,Hockley County,county,21455,Hockley,48,219,,
GA,Mitchell County,county,21441,Mitchell,13,205,,
MO,Morgan County,county,21430,Morgan,29,141,,
FL,Taylor County,county,21422,Taylor,12,123,,
MN,Fillmore County,county,21346,Fillmore,27,045,,
MO,Clinton County,county,21259,Clinton,29,049,,
TX,Moore County,county,21234,Moore,48,341,,
TX,Gray County,county,21131,Gray,48,179,,
MN,Dodge County,county,20962,Dodge,27,039,,
MO,Nodaway County,county,20959,Nodaway,29,147,,
MI,Ogemaw County,county,20853,Ogemaw,26,129,,
GA,Meriwether County,county,20757,Meriwether,13,199,,
TX,Colorado County,county,20736,Colorado,48,089,,
GA,Morgan County,county,20614,Morgan,13,211,,
TX,Montague County,county,20599,Montague,48,337,,
GA,Worth County,county,20575,Worth,13,321,,
TX,Lavaca County,county,20479,Lavaca,48,285,,
TX,Hutchinson County,county,20413,Hutchinson,48,233,,
NM,Lincoln County,county,20227,Lincoln,35,027,,
TX,Willacy County,county,20218,Willacy,48,489,,
TX,Tyler County,county,20084,Tyler,48,457,,
